[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT COUNT(*) AS tp_count FROM `gt_project_article` WHERE ( `cateId` = '6' ) LIMIT 1  [ RunTime:0.000109s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT `id`,`cateId`,`title`,`createTime` FROM `gt_project_article` WHERE ( `cateId` = '6' ) ORDER BY sort DESC LIMIT 0,25  [ RunTime:0.000102s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | SQL: SELECT `id`,`cateName` FROM `gt_project_category` WHERE ( `id` = '1' ) LIMIT 1  [ RunTime:0.000105s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 38 行.
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: pitch 6b9abf15750aa96328ffe542d2c95880.php 第 43 行.
[ 2016-01-05T21:02:07+08:00 ] /?m=Article&a=index&pid=6 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 96 行.
[ 2016-01-05T21:02:07+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003301s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000207s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:07+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003710s ]
[ 2016-01-05T21:02:07+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000136s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003209s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000173s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003037s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000176s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.004951s ]
